,UniProtID,proteinNames,txt_subunit,geneNames
0,J4U249,['GRE3-like protein'],,"['YHR104W', 'SKDI08G1500', 'SKDI_08G1500', 'SKUD_202415']"
1,J5S0J1,['YPR1-like protein'],,"['YDR368W', 'SKDI04G5770', 'SKDI_04G5770', 'SKUD_169903']"
2,P15703,"['Glucan 1,3-beta-glucosidase', 'Exo-1,3-beta-glucanase', 'GP29', 'Soluble cell wall protein 9']",,"['BGL2', 'SCW9', 'YGR282C']"
3,S5S176,['alcohol dehydrogenase'],,"['ADH1', 'YOL086C']"
4,J5PMJ0,"['glucan 1,3-beta-glucosidase']",,"['YLR300W', 'SKDI12G3320', 'SKDI_12G3320', 'SKUD_205903']"
5,P43623,"['Putative cystathionine beta-lyase', 'CBL', 'Beta-cystathionase', 'Cysteine lyase', 'Cysteine-S-conjugate beta-lyase', 'Increased recombination centers protein 7']",,"['IRC7', 'YFR055W']"
6,J5RS93,['STR3-like protein'],,"['YGL184C', 'SKDI07G0820', 'SKDI_07G0820', 'SKUD_177803']"
7,J8TQH6,"['glucan 1,3-beta-glucosidase']",,"['YDR261C', 'SKDI04G4750', 'SKDI_04G4750', 'SKUD_201205']"
8,P32771,"['S-(hydroxymethyl)glutathione dehydrogenase', 'Alcohol dehydrogenase SFA', 'Glutathione-dependent formaldehyde dehydrogenase']",,"['SFA1', 'SFA', 'YDL168W']"
9,J8TXL7,"['glucan 1,3-beta-glucosidase']",,"['YOR190W', 'SKDI15G3360', 'SKDI_15G3360', 'SKUD_199702']"
10,J4TY98,"['1,3-beta-glucanosyltransferase']",,"['YOL030W', 'SKDI15G1270', 'SKDI_15G1270', 'SKUD_206004']"
11,J5PD10,"['1,3-beta-glucanosyltransferase']",,"['YLR343W', 'SKUD_148502']"
12,N4VFV8,['cysteine--tRNA ligase'],,"['YNL247W', 'Cob_v007793']"
13,J5PRJ1,['alcohol dehydrogenase'],,"['YMR303C', 'SKDI13G4340', 'SKDI_13G4340', 'SKUD_135102']"
14,P32582,"['Cystathionine beta-synthase', 'Beta-thionase', 'Serine sulfhydrase', 'Sulfur transfer protein 4']",,"['CYS4', 'STR4', 'YGR155W', 'G6667']"
