,name,gene_reaction_rule,subunit_mw,subunit_num
ALATA_D2,D-alanine transaminase,b2551 or b0870,45.31659 or 36.49471 ,2 or 4 
SHCHD2,Sirohydrochlorin dehydrogenase (NAD),b3368,49.9514,2
CPPPGO,Coproporphyrinogen oxidase (O2 required),b2436,34.32263,2
GTHOr,Glutathione oxidoreductase,b3500,48.77251,2
DHORD5,Dihydroorotic acid (menaquinone-8),b0945,36.77452,1
GLYCTO2,Glycolate oxidase,b4468 and b2979 and b4467,38.36098 and 53.8117 and 45.11012 ,1 and 1 and 1 
GLYCTO3,Glycolate oxidase,b4468 and b2979 and b4467,38.36098 and 53.8117 and 45.11012 ,1 and 1 and 1 
GLYCTO4,Glycolate oxidase,b4468 and b2979 and b4467,38.36098 and 53.8117 and 45.11012 ,1 and 1 and 1 
PFK_3,Phosphofructokinase (s7p),b3916,34.84204,4
TRPS2,Tryptophan synthase (indole),b1260 and b1261,28.72416 and 42.98301 ,2 and 2 
G3PD5,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),( b2242 and b2243 and b2241 ) or b3426,( 45.35724 and 44.10804 and 58.95825 ) or 56.75054 ,( 1 and 1 and 1 ) or 2 
LEUTAi,Leucine transaminase (irreversible),b3770 or b4054,34.09365 or 43.53781 ,6 or 2 
SHK3Dr,Shikimate dehydrogenase,b3281,29.41364 ,1
SHK3Dr_reverse,Shikimate dehydrogenase,b1692,31.2278,2
G5SD,Glutamate-5-semialdehyde dehydrogenase,b0243,44.63005,4
ALATA_L2,Alanine transaminase,b0870 or b2551,36.49471 or 45.31659 ,4 or 2 
MAN6PI,Mannose-6-phosphate isomerase,b1613,42.84995,1
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,b0414,40.33831,2
DB4PS,"3,4-Dihydroxy-2-butanone-4-phosphate synthase",b3041,23.35347,2
RBFK,Riboflavin kinase,b0025,34.73427,1
ACP1_FMN,Acid phosphatase (FMN),b0446 or b3812 or b0844,30.37091 or 27.122 or 30.196 ,1 or 1 or 1 
RBFSb,Riboflavin synthase,b1662,23.4449,3
DMATT,Dimethylallyltranstransferase,b0421,32.15963,1
GRTT,Geranyltranstransferase,b0421,32.15963,1
UPP3S,Uroporphyrinogen-III synthase,b3804,27.79794,1
UPPDC1,Uroporphyrinogen decarboxylase (uroporphyrinogen III),b3997,39.24812,1
TMDPP,Thymidine phosphorylase,b4382,47.20712,2
HCO3E,HCO3 equilibration reaction,b0126 or b0339,25.09677 or 23.76426 ,4 or 2 
IMPC,IMP cyclohydrolase,b4006,57.32921,1
IMPD,IMP dehydrogenase,b2508,52.02245,4
ECOAH4,3-hydroxyacyl-CoA dehydratase (3-hydroxydecanoyl-CoA),b2341 or b3846,77.07221 or 79.59391 ,1 or 2 
GLUTRS,Glutamyl-tRNA synthetase,b2400,53.81573,1
TMPPP,Thiamine-phosphate diphosphorylase,b3993,23.01528,1
URIK1,Uridine kinase  ATPUridine ,b2066,24.35311,1
URIK2,Uridine kinase (GTP:Uridine),b2066,24.35311,1
CYTDK1,ATP:cytidine 5'-phosphotransferase,b2066,24.35311,1
CYTDK2,Cytidine kinase (GTP),b2066,24.35311,1
XPPT,Xanthine phosphoribosyltransferase,b0238,16.97059,4
HXPRT,Hypoxanthine phosphoribosyltransferase (Hypoxanthine),b0238 or b0125,16.97059 or 20.11524 ,4 or 4 
NDPK5,Nucleoside-diphosphate kinase (ATP:dGDP),b0474 or b2518,23.58602 or 15.46344 ,1 or 4 
DHORTS,Dihydroorotase,b1062,38.82738,2
OMPDC,Orotidine-5'-phosphate decarboxylase,b1281,26.35024,2
CS,Citrate synthase,b0720,48.01499,6
ICDHyr,Isocitrate dehydrogenase (NADP),b1136,45.75671,2
ACALD,Acetaldehyde dehydrogenase (acetylating),b0351 or b1241,33.44247 or 96.12724 ,1 or 40 
ACS,Acetyl-CoA synthetase,b4069,72.09359,1
PPA,Inorganic diphosphatase,b2502 or b2744 or b4226,58.13597 or 26.90043 or 19.70356 ,2 or 1 or 6 
PPCK,Phosphoenolpyruvate carboxykinase,b3403,59.64348,1
ME1,Malic enzyme (NAD),b1479,63.19733,4
ALAR,Alanine racemase,b1190 or b4053,38.84462 or 39.15294 ,2 or 2 
ALATA_L,L-alanine transaminase,b2290 or b2379,45.51737 or 46.21621 ,2 or 2 
XYLK,Xylulokinase,b0063 or b3564,61.08942 or 52.61823 ,2 or 2 
RBK,Ribokinase,b3752,32.29052,2
GLYK,Glycerol kinase,b3926,56.23077,4
PPM,Phosphopentomutase,b4383,44.36996,1
ASPTA,Aspartate transaminase,b0928 or b4054,43.57336 or 43.53781 ,2 or 2 
FBP,Fructose-bisphosphatase,b2930 or b4232 or b3925 or b3697,34.32343 or 36.83393 or 35.85231 or 29.721 ,2 or 4 or 2 or 1 
GLGC,Glucose-1-phosphate adenylyltransferase,b3430,48.69764,4
PYK,Pyruvate kinase,b1854 or b1676,51.35714 or 50.72942 ,4 or 4 
A5PISO,Arabinose-5-phosphate isomerase,b3197 or b2708,35.19608 or 34.03143 ,4 or 4 
IPPMIb,2-isopropylmalate hydratase,b0071 and b0072,22.48749 and 49.88183 ,1 and 1 
ACHBS,2-aceto-2-hydroxybutanoate synthase,( b3670 and b3671 ) or ( b0077 and b0078 ),( 11.10576 and 60.44057 ) or ( 62.98434 and 17.97676 ) ,( 2 and 2 ) or ( 2 and 2 ) 
ACLS,Acetolactate synthase,( b0077 and b0078 ) or ( b3670 and b3671 ),( 62.98434 and 17.97676 ) or ( 11.10576 and 60.44057 ) ,( 2 and 2 ) or ( 2 and 2 ) 
PSCVT,3-phosphoshikimate 1-carboxyvinyltransferase,b0908,46.09578,1
ANS,Anthranilate synthase,b1263 and b1264,56.86994 and 57.49446 ,2 and 2 
ANPRT,Anthranilate phosphoribosyltransferase,b1263,56.86994,2
CHORM,Chorismate mutase,b2599 or b2600,43.11136 or 42.04252 ,2 or 2 
CHORS,Chorismate synthase,b2329,39.13745,4
IGPS,Indole-3-glycerol-phosphate synthase,b1262,49.49233,1
ECOAH6,3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA),b2341 or b3846,77.07221 or 79.59391 ,1 or 2 
ENO,Enolase,b2779,45.65495,2
FBA,Fructose-bisphosphate aldolase,b2925 or b2097,39.14726 or 38.10919 ,2 or 10 
MGSA,Methylglyoxal synthase,b0963,16.91858,6
PPS,Phosphoenolpyruvate synthase,b1702,87.43508,2
PGI,Glucose-6-phosphate isomerase,b4025,61.52977,2
PGK,Phosphoglycerate kinase,b2926,41.11822,1
EDA,2-dehydro-3-deoxy-phosphogluconate aldolase,b1850,22.28403,3
PGL,6-phosphogluconolactonase,b0767,36.30764,1
