,UniProtID,proteinNames,txt_subunit,geneNames
0,P0A825,['Serine hydroxymethyltransferase'],Homodimer.,"['glyA', 'b2551', 'JW2535']"
1,P75823,"['Low specificity L-threonine aldolase', 'Low specificity L-TA']",Homotetramer.,"['ltaE', 'ybjU', 'b0870', 'JW0854']"
2,P0AEA8,['Siroheme synthase'],Monomer.,"['cysG', 'b3368', 'JW3331']"
3,P36553,['Oxygen-dependent coproporphyrinogen-III oxidase'],Homodimer.,"['hemF', 'b2436', 'JW2429']"
4,P06715,['Glutathione reductase'],Homodimer.,"['gor', 'b3500', 'JW3467']"
5,P0A7E1,"['Dihydroorotate dehydrogenase (quinone)', 'DHOdehase']",Monomer.,"['pyrD', 'b0945', 'JW0928']"
6,P52074,"['Glycolate oxidase iron-sulfur subunit', 'Glycolate dehydrogenase subunit GlcF', 'Glycolate oxidase subunit GlcF']","The glycolate oxidase likely consists of three subunits, GlcD, GlcE and GlcF.","['glcF', 'gox', 'yghL', 'b4467', 'JW5486']"
7,P52073,['Glycolate oxidase subunit GlcE'],"The glycolate oxidase likely consists of three subunits, GlcD, GlcE and GlcF.","['glcE', 'gox', 'yghL', 'b4468', 'JW5487']"
8,P0AEP9,['Glycolate oxidase subunit GlcD'],"The glycolate oxidase likely consists of three subunits, GlcD, GlcE and GlcF.","['glcD', 'gox', 'yghM', 'b2979', 'JW2946']"
9,P0A796,"['ATP-dependent 6-phosphofructokinase isozyme 1', '6-phosphofructokinase isozyme I', 'Phosphohexokinase 1', 'Sedoheptulose-7-phosphate kinase']",Homotetramer.,"['pfkA', 'b3916', 'JW3887']"
10,P0A877,['Tryptophan synthase alpha chain'],Tetramer of two alpha and two beta chains.,"['trpA', 'b1260', 'JW1252']"
11,P0A879,['Tryptophan synthase beta chain'],Tetramer of two alpha and two beta chains.,"['trpB', 'b1261', 'JW1253']"
12,P13035,['Aerobic glycerol-3-phosphate dehydrogenase'],,"['glpD', 'glyD', 'b3426', 'JW3389']"
13,P13033,['Anaerobic glycerol-3-phosphate dehydrogenase subunit B'],Composed of a catalytic GlpA/B dimer and of membrane bound GlpC.,"['glpB', 'b2242', 'JW2236']"
14,P0A996,"['Anaerobic glycerol-3-phosphate dehydrogenase subunit C', 'G-3-P dehydrogenase']",Composed of a catalytic GlpA/B dimer and of GlpC.,"['glpC', 'b2243', 'JW2237']"
15,P0A9C0,"['Anaerobic glycerol-3-phosphate dehydrogenase subunit A', 'G-3-P dehydrogenase']",Composed of a catalytic GlpA/B dimer and of membrane bound GlpC.,"['glpA', 'b2241', 'JW2235']"
16,P04693,['Aromatic-amino-acid aminotransferase'],Homodimer.,"['tyrB', 'b4054', 'JW4014']"
17,P0AB80,"['Branched-chain-amino-acid aminotransferase', 'BCAT']",Homohexamer.,"['ilvE', 'b3770', 'JW5606']"
18,P15770,['Shikimate dehydrogenase (NADP(+))'],Monomer or homodimer.,"['aroE', 'b3281', 'JW3242']"
19,P0A6D5,['Quinate/shikimate dehydrogenase'],Homodimer.,[]
20,P07004,"['Gamma-glutamyl phosphate reductase', 'GPR', 'Glutamate-5-semialdehyde dehydrogenase', 'Glutamyl-gamma-semialdehyde dehydrogenase', 'GSA dehydrogenase']",Homodimer (Probable). May form a complex with glutamate 5-kinase (proB).,"['proA', 'b0243', 'JW0233']"
21,P00946,"['Mannose-6-phosphate isomerase', 'Phosphohexomutase', 'Phosphomannose isomerase', 'PMI']",,"['manA', 'pmi', 'b1613', 'JW1605']"
22,P25539,['Riboflavin biosynthesis protein RibD'],Homodimer.,"['ribD', 'ribG', 'ybaE', 'b0414', 'JW0404']"
23,P0A7J0,"['3,4-dihydroxy-2-butanone 4-phosphate synthase']",Homodimer.,"['ribB', 'htrP', 'b3041', 'JW3009']"
24,P0AG40,['Bifunctional riboflavin kinase/FMN adenylyltransferase'],,"['ribF', 'yaaC', 'b0025', 'JW0023']"
